"Asset No","SAP Ref. No","Invoice No","Asset Name",Category,Type,Status,"Serial No",Make,Model,"Pur Value","Pur Date","Pur From","PO No","User Full Name",Department,Division,Factory,Site,N.Username,"Part Name","Mother Board",Processor,Speed,SSD,HDD,RAM,Network,"Mac Address","Total Cost",OS,"Last Rebuild",Bag,OEM,"OEM Serial",Remark
BD-00290,,,,Printer,Printer,Disposed,CN22M21HCZ,HP,"Desk Jet 1000","3,000",2010-01-01,,,,MIS,LWR,SDL,SDL,,,,,,,,,,,,,,,,,
BD-00291,,,SDLL004C,Computer,Laptop,Disposed,CNU8363WVP,Hp,"Compaq 2230s","22,000",2008-06-02,,,,MIS,LWR,SDL,SDL,,,,"Intel Core 2Duo",1.80,,500,"4096 ",,,,"WIN7 Pro",,,"WIN Vista Buiness",D8GV2-W79BH-RV46C-BG9C9-JFP3Q,
BD-00292,,,,Computer,Desktop,"Need to dispose",SGH8040859,HP,"Compaq DC5750 MT ","25,000",2011-02-02,,,,MIS,SWR,SDL,SDL,,,,"Intel Duel core",2.59,,250,"2048 ",,,,"WIN10 Pro",,,"WIN XP Pro","OEM serial number got ereased",TCMD056
BD-00293,,,,Display,Monitor,Assigned,CNN8038K,HP,L1908W,"8,600",2011-02-02,,,"Imran Hossain(QMAT)",LAB,SWR,,SDL,imhossain,,,,,,,,,,,,,,,,
BD-00294,21004000155,n/a,SDLD234F,Computer,Desktop,Disposed,CZC8451BFY,HP,"DX7400 MT","25,000",2011-02-02,,,"Mainul Islam",Cutting,SWR,SDL,SDL,maiiislam,,,"Intel Core 2Duo",2.53,,320,"4096 ",,,,"WIN10 Pro",2020-02-02,,"WIN Vista Buiness",WXHM8-BX4K6-4M2M8-QYRKW-VGTM4,
BD-00295,,,,Display,Monitor,Assigned,NE5UHMCB80033N,Samsung,B1930,"8,500",2010-03-02,,,"Ramzan Ali",Cutting,LWR,,SDL,ramali,,,,,,,,,,,,,,,,
BD-00296,,,,Display,"CRT Monitor",Disposed,CN337XB357,HP,5500,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00297,,n/a,SDLD587B,Computer,Desktop,Assigned,J6M0CS037719,Asus,H310M-K,"28,110",2019-03-27,"Global Brand/ INV-GBPGL-2019-001934/ 3 yr wrenty",SIL0000075,"Mohammad Alamgir",Sample,LWR,SIL,SDL,malamgir,,,"Core i3-8100",3.6,256,,8196,,,,"WIN11 Pro",2025-08-06,,"WIN 11 Pro",VR6Y4-YPTR2-8XJ89-9P74G-DWFPT,
BD-00298,,n/a,,Computer,Desktop,Disposed,K1108A110Z140,Fujitsu,M14W-D2840,"27,000",2009-02-04,,,"Lasercut SDL2","Nike Promo",SWR,SDL,SDL,lsdl2,,,"Intel Core 2Duo",2.93,,250,"2048 ",,,,"WIN7 Pro",,,"WIN Vista Buiness",JYWAV-3JV4D-HV2GR-Y34GT-8MK92,
BD-00299,,n/a,,UPS,UPS,Disposed,1500712,Micro,UVS650,"2,800",2012-01-01,,,"Tahira Akhter",HR,LWR,SDL,SDL,takther,,,,,,,,,,,,,,,,
BD-00300,,,,UPS,UPS,"Need to dispose",92272,Micro,UVS650,"2,800",2011-01-01,,,"Ex.Md Alamin",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00301,,,DEWBDSDLA01,Network,"Access Point",Assigned,FGL1552V0RQ,Cisco,AIR-AP1131G,"35,000",2010-01-01,,,,PCC,LWR,,SDL,"Inside PCC Room - SDL",,,,,,,,,10.140.25.1,,,,,,,
BD-00302,,,,Network,"Access Point",Disposed,1C436C5NO160B,Netgear,WG602,"6,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00303,11004000187,,,UPS,UPS,Disposed,E110831596,"Power Guard",PG-650AOF,"2,900",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00304,,,,Network,Switch,Stock,FOC1605X5PE,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00305,,,,"Network Accessories","Media Converter",Assigned,1110243868,D-Link,"1000M, 2.5 KM","1,200",2010-04-04,,,"Using for Backup Line",MIS,LWR,,SDL,System,,,,,,,,,,,,,,,,
BD-00306,,,,"Network Accessories","Media Converter",Disposed,201010250097,D-Link,100-FX,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00307,,,,"Network Accessories","Media Converter",Disposed,1110243866,D-Link,1556,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00308,,,,Network,Switch,Disposed,16T25C3500350,Netgear,JFS524,"1,500",2005-02-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00309,,,,UPS,UPS,Disposed,14669,Micro,UV6650,"2,800",2011-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00310,,,,Scanner,Scanner,"Need to dispose",CN6AJA24HZ,HP,ScanJet-63010,"4,800",2010-02-02,,,MIS,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00311,,,,UPS,UPS,Disposed,27727,Micro,UVS-1000,"4,800",2010-01-01,,,,MIS,SWR,,SDL,,,,,,,,,,,,,,,,,
BD-00312,,,,"Network Accessories","Media converter",Disposed,1110243886,D-Link,131MM,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00313,,,,"Network Accessories","Media Converter",Disposed,20101008008,D-Link,110S/D,"1,200",2010-04-04,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00314,11004000116,n/a,DEWBDSDLS60,Network,Switch,Disposed,ACA0161E5172,Linksys,SRW248G4,"12,000",2013-06-14,,,"SIL CAD Rack",MIS,LWR,SIL,SDL,MIS,,,,,,,,,,,,,,,,
BD-00315,,,,Network,Switch,Disposed,0013467CE880BF,D-Link,DES-3828P,"4,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00316,,,DEWBDSDLS10,Network,Switch,Assigned,FOC1530X5CY,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SDL West Side RAK",MIS,LWR,,SDL,System,,,,,,,,,10.140.2.10,,,,,,,
BD-00317,,,,"Network Accessories","Media Converter",Disposed,201010060293,D-Link,110S/A,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00318,,,,"Network Accessories","Media Converter",Disposed,5010156,D-Link,HTBA10C,"1,200",2010-04-04,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00319,,,,Network,Switch,Assigned,FSC913CCB069155,Netgear,FS608,"1,500",2005-02-02,,,"Assigned to AKH ",MIS,LWR,,AKH,,,,,,,,,,,,,,,,,
BD-00320,,,,Network,Switch,Stock,1GN18B3J03CE6,Netgear,FS608,"1,500",2005-02-02,,,"SIL Server room",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00321,11004000187,,,UPS,UPS,Disposed,E100829969,"Power Guard",PG-2000AOF,"4,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00322,,,DEWBDSDLS02,Network,Switch,Assigned,FOC1544X1JL,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SDL Server room Rack2",MIS,LWR,,SDL,System,,,,,,,,,10.140.2.2,,,,,,,
BD-00323,,,DEWBDSDLS05,Network,Switch,Assigned,0021918D3305,D-Link,DES-2038,"19,000",2009-08-02,,,"SDL Server room Rack2",MIS,LWR,,SDL,System,,,,,,,,,10.140.2.5,,,,,,,
BD-00324,11004000185,n/a,DEWBDSDLS03,Network,Switch,Disposed,RJT10K600036,Linksys,SRW2048,"28,000",2010-05-02,,,"SDL Server room Rack2",MIS,LWR,SDL,SDL,System,,,,,,,,,10.140.2.3,,,,,,,
BD-00325,,,,Network,Router,Transferred,FHK093531G1,Cisco,"1800 Series","6,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,"Trade-In with Di-data"
BD-00326,,,,"Network Accessories","Media Converter",Disposed,201010250089,D-Link,110S,"1,200",2010-04-04,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00327,,,DEWBDSDLS01,Network,Switch,Assigned,FOC1506W214,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SDL server room rack1",MIS,LWR,,SDL,System,,,,,,,,,10.140.2.1,,,,,,,
BD-00328,,,,Network,Router,Transferred,FHK10235291,Cisco,"1800 Series","6,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,"Trade-In with Di-data"
BD-00329,,,,Display,"KVM Switch",Assigned,100054920,Avocent,DSR-2035,"46,000",2006-01-01,,,"SDL Server room Rack2",MIS,LWR,,SDL,System,,,,,,,,,,,,,,,,
BD-00330,,,,Network,Router,Stock,JMX1314L1DU,Cisco,5510,"33,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00331,,,,Network,Router,Disposed,A05230391F,TechnoAS,Tenor,"5,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00332,,,,Display,"KVM Switch",Disposed,8081200147,,KVM0931,"5,000",2009-01-01,,,,MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00333,,,,Network,Switch,Disposed,FOC1242U3HM,Cisco,"500 Catalog","15,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00335,,,,Network,Switch,Disposed,1GN1893005FFF,Netgear,FS608,"1,500",2005-02-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00336,,,,UPS,UPS,Disposed,27378,"Micro ",UVS-1000VA,"4,800",2012-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00337,,,,"Network Accessories","Media converter",Stock,1110244186,D-Link,1550MM,"1,200",2009-01-01,,,"SIL Server room",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00338,,,,"Network Accessories","Media converter",Assigned,201202150052,D-Link,1105/A,"1,200",2009-01-01,,,"SIL CAD RACK",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00339,,,,Network,Switch,Disposed,0100LV5G250061167,3Com,361-6471,"11,000",1998-07-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00340,,,,Network,Switch,Disposed,0101LV5G390155550,3Com,361-6471,"11,000",1998-07-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00341,,,DEWBDSDLS07,Network,Switch,Assigned,FOC1544X1JY,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SDL MIS Room Rack",MIS,LWR,SDL,SDL,MIS,,,,,,,,,10.140.2.40,,,,,,,
BD-00342,,,,Network,Switch,Assigned,1GN19933079E,Netgear,FS608,"1,500",2005-02-02,,,"SIL Server room",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00343,,,,Network,Switch,Disposed,CD121294,Surecom,EP80850,"4,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00344,,,DEWBDSDLA02,Network,"Access Point",Assigned,FGL1552V0RP,Cisco,AIR-AP1131G,"35,000",2010-01-01,,,,MIS,LWR,"Beside Board Room",SDL,System,,,,,,,,,10.140.25.2,,,,,,,
BD-00345,,,,CCTV,"CCTV DVR",Disposed,CCTVP0139,Asus,CCTVPR016,"15,000",2007-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00346,,,,UPS,UPS,Assigned,B03J430005763A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,"Mostafizur Rahman",Cutting,LWR,,SDL,mosrahman,,,,,,,,,,,,,,,,
BD-00347,,,,Network,Switch,Assigned,1GN18B3E03CE2,Netgear,FS608,"1,500",2005-02-02,,,"SDL Server room",MIS,LWR,,SDL,System,,,,,,,,,,,,,,,,
BD-00348,,,,Network,Switch,Assigned,FS6913ACB039353,Netgear,FS608,"1,500",2005-02-02,,,"Nuruddin Almashud",HR,LWR,"SIL Gate1",SDL,nalmashud,,,,,,,,,,,,,,,,
BD-00349,,,DEWBDSDLS204,Network,Switch,Assigned,FOC1545808L,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SIL Server room",MIS,LWR,,SDL,MIS,,,,,,,,,10.140.2.204,,,,,,10.140.2.20,
BD-00350,,,,Network,Switch,Disposed,01017ZNV160DD18,3Com,3300,"11,000",1998-07-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00351,,,,Network,Switch,Disposed," 04027MMV8777518",3Com,"4400 SE 24 PT ","11,000",2015-05-20,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00352,,,,Network,Switch,Disposed,LSDV59D725420,3Com,"4400 SE 24 PT","11,000",2005-05-20,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00353,,,,Network,Switch,Assigned,F3S319A000339,D-Link,DES-1026G,"19,000",2009-01-01,,,"SIL Server room",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00354,,,DEWBDAKHR01,Network,Router,Stock,FHK09501369,Cisco,1801,"6,000",2010-01-01,,,,MIS,LWR,,SDL,System,,,,,,,,,,,,,,,,"AKH Network RACK"
BD-00355,,,,Network,"Wave device",Assigned,2UA2070512,Cisco,Wave-477,"80,000",2010-01-01,,,"SIL Server room",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00356,,,,UPS,UPS,Assigned,JS0720010668,Apc,3000XL,"100,000",2009-06-02,,,"SIL Server room",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00357,11004000159,,SDLD266A,Computer,Desktop,Disposed,97PBAW003470,Asus,V6-P5G41H,"14,000",2010-02-03,,,,MIS,LWR,,SDL,,,Asus,"Intel® Core ™ 2 Duo-E7500",2.93,,250,2048,,,,"WIN7 Pro",,,None,,
BD-00358,,,,Display,"CRT Monitor",Disposed,CN329XW652,HP,5500,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00359,,,,Printer,Printer,Disposed,KLHA066741,Canon,"Laser LBP-1210","85,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00360,,,SDLP023,Printer,Printer,Assigned,CNBN4B0GG7,HP,"Laserjet 4250n","30,000",2010-01-01,,,"Cutting Common",Cutting,LWR,,SDL,"Cutting Common",,,,,,,,,,,,,,,,SDLP017
BD-00361,,,,Printer,Printer,Disposed,VNRJ79F03M,HP,"Laser Jet  1022n","85,000",2008-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00362,,,,Printer,Printer,Assigned,91866114,Datamax,"Bar-Code DMX-M-4206","200,000",2009-02-02,,,"Store loading area1","Store ",LWR,,SDL,"Store loading area1",,,,,,,,,,,,,,,,
BD-00363,,,,"Network Accessories","Media Converter",Disposed,200906200225,D-Link,110S/B,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00364,,,,"Network Accessories","Media Converter",Disposed,S2KN/0020082602,Netlink,HTB-1100S,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00365,,,,"Network Accessories","Media Converter",Disposed,070800243,D-Link,HTB-1100S,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00366,,,,"Network Accessories","Media Converter",Disposed,260806200210,D-Link,HTB-1100S,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00367,,,,"Network Accessories","Media Converter",Disposed,SZKN0020082375,Netlink,HTB-WS01,"1,200",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00368,,,SDLUPS3,UPS,UPS,Disposed,P104132001,Socomec,MAS2BC110S+A1,"650,000",2009-05-05,,,SDLUPS3,MIS,LWR,,SDL,System,,,,,,,,,10.140.12.3,,,,,,,
BD-00369,,,,Backup,"Tape Drive",Assigned,HU10817J41,HP,Ultrium-960,"42,000",2010-01-01,,,"SDL server rack3",MIS,LWR,,SDL,System,,,,,,,,,,,,,,,,
BD-00370,,,DEWBDSDLS50,Network,Switch,Assigned,FOC1605Y0JS,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SDL Ground floor rack",MIS,LWR,,SDL,System,,,,,,,,,10.140.2.50,,,,,,,
BD-00371,,,SDLDC4,Server,Server,Disposed,KDTMY77,IBM,X-306,"150,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,SDLDC4
BD-00372,,,SDLFP4,Server,Server,Assigned,CZC8181ZWJ,HP,"DL 380 Gen5","200,000",2010-01-01,,,"SDL Server rack",MIS,LWR,,SDL,System,9,,"Intel  Xeon CPU E5-2609",,,,,,,,,,,,,SDLFP2
BD-00373,,,DBOSAP13,Server,Server,Assigned,CZC80519P2,HP,"DL 380 Gen5","200,000",2010-01-01,,,"DBO Server rack",MIS,LWR,,DBO,System,9,,"Intel  Xeon CPU E5345",,,,,,,,,,,,,
BD-00374,,,,Network,Router,Transferred,FHK0950137D,Cisco,"1800 Series","6,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,"Trade-In with Di-data"
BD-00375,21004000018,n/a,,Computer,Desktop,Disposed,CZC825477H,HP,"DX7400 MT","25,000",2011-02-02,,,"Imran Hossain(QMAT)",LAB,SWR,SDL,SDL,imhossain,,,"Intel Core 2 Duo",2.53,,160,"2048 ",,,,"WIN7 Pro",,,"WIN Vista Buiness",87W42-K2PTG-TH4QV-QJJDV-G7BBR,"RCVD from Morocco"
BD-00376,,,,Printer,"Barcode Printer",Stock,4312X01893,Citoh,S4,"16,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00377,,,,Network,Switch,Disposed,7WMB009721,3Com,3000,"11,000",1998-07-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00378,,,,Backup,"Tape Drive",Disposed,HUL152LAWM,HP,1840,"24,500",2011-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00379,,,"Lapm Server",Server,"Server ",Disposed,CN76510003,HP,ML350,"150,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,Shanta_SDL
BD-00380,,,,"Power Supply","Battery Pack",Assigned,,Apc,SUA48RMXLBP3U,"12,000",2008-05-02,,,"SIL Server room",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,
BD-00381,,,,UPS,UPS,Disposed,8344A00031,Smartguard,1000VA,"4,800",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00382,,,,UPS,UPS,Disposed,0207000030AF081,Liebert,GXT2,"2,800",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00383,,,"Ex. SDLD342",Computer,Desktop,Disposed,SGH8470KHQ,HP,"DX7400 MT","22,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00384,,n/a,,Computer,Desktop,Disposed,SGH804085H,HP,"Compaq DC5750 MT ","25,000",2011-02-02,,,"Ex.Rozina Akter",Finishing,LWR,SDL,SDL,,,,"AMD Dualcore",2.59,,500,"3072 ",,,,"WIN10 Pro",,,"WIN XP Pro",Q9JY8-7PP64-PZFCF-MH9TY-4VRM8,
BD-00385,,,,Computer,Desktop,Disposed,SGH8520KRN,HP,"DX7400 MT","22,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00387,,,,Computer,Desktop,Disposed,DH0F00014,Clone,D101GGC,"14,000",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00388,,n/a,SDLD392B,Computer,Desktop,Disposed,9G508401512,Clone,EG41MF-US2H,"14,500",2010-05-03,,,"Anwar Hossain/Shapna Pervin",Quality,LWR,SDL,SDL,anhossain/spervin,,Gigabyte,"Intel Core 2Duo",2.93,,500,4096,,,,"WIN10 Pro",,,None,,
BD-00389,,1,SDLD285D,Computer,Desktop,"Need to Dispose",C6M0CS103538,Clone,P8H61-MLX,"14,500",2013-09-09,,,"Nasir Hossain",Fabric,LWR,SIL,SDL,nashossain,,Asus,"Intel Pentium R",2.60,,500,"4096 ",,,,"WIN10 Pro",,,None,,
BD-00390,,,,CCTV,"CCTV DVR",Disposed,CCTVP0138,Asus,CCTVPR016,"15,000",2007-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00391,,,,UPS,UPS,Disposed,P179978006R00000,Socomec,Sicon,"12,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00392,,,,Server,Server,Disposed,TWT54301AG,HP,"Proliant ML 350","200,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00393,,,,Network,Router,Stock,FCZ133960SP,Cisco,"800 Series","5,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00394,,,SDLAP7,Server,Server,Assigned,SGH84504NF,HP,"DL 585 Gen5","200,000",2010-01-01,,,"SDL Server rack",MIS,LWR,,SDL,System,9,,"QUARD-Core AMD Opteron 8354 ",,,,,,,,,,,,,SDLSAP2
BD-00395,,,,Network,Router,Transferred,FCZ102310FL,Cisco,1841,"6,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,"Ex TCCM Router/Trade-In with Di-data"
BD-00396,,,dewbdsilr02,Network,Router,Assigned,FCZ142971H5,Cisco,2921,"130,000",2013-01-01,,,,MIS,LWR,,SDL,System,,,,,,,,,,,,,,,,
BD-00397,,n/a,,Display,Monitor,Disposed,3CQ8414QH2,HP,L1710,"5,500",2011-02-02,,,"Ex. Joynal Abedin",Finishing,LWR,SDL,SDL,jabedin,,,,,,,,,,,,,,,,
BD-00398,,,,Network,Switch,Disposed,04111008VB13432,D-Link,DES-1008V,"4,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00399,,,,Network,"Access Point",Disposed,FHK0809J24U,Cisco,"Aironet-1200 Series","7,000",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00400,,,,Display,"CRT Monitor",Disposed,160502,Philips,1505S,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00401,,n/a,,Computer,Desktop,Disposed,D6M0CS230733,Clone,H61M-E,"15,000",2013-04-05,,,"Ex. Jahanali Khan",Production,LWR,SIL,SDL,,,Asus,"Intel Pentium R (2 cores)-G620",2.3,,1024,4096,,,,"WIN10 Pro",,,None,,
BD-00402,,,,Display,"CRT Monitor",Disposed,WE00050102270,Philips,105S1,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00403,,,"Ex. SDLD243",Computer,Desktop,Disposed,"BTGC60665988 AA D35788-305",Clone,D101GGC,"14,000",2005-01-01,,,,MIS,LWR,,SDL,,,Intel,"Intel Pentium 4",3,,80,1024,,,,"XP Pro",,,None,,
BD-00404,,n/a,,Display,Monitor,"Need to Dispose",NE5UHMAB400352J,Samsung,"B1930N  19","8,500",2010-03-02,,,,Oparetion,LWR,SWL,SDL,,,,,,,,,,,,,,,,,
BD-00405,,,SDLP016,Printer,Printer,Assigned,CNC2420068,HP,"Laser jet 2035n","17,000",2010-01-01,,,"Operation Common",Oparetion,LWR,,SDL,"Operation Common",,,,,,,,,,,,,,,,SDLP016
BD-00406,,,,UPS,UPS,Disposed,B03K160024308A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00407,,n/a,SDLD242F,Computer,Desktop,Assigned,182260020957,Clone,H61M-DS2,"14,500",2013-09-09,,,"Sajal Parvej",Store,LWR,SIL,"Shanta Denim Limited",sparvej,,Gigabyte,"Intel Pentium R (2 cores)",2.7,"250 GB",,8192,,,,"WIN10 Pro",2020-03-03,,None,,"RAM & HDD replaced at 3-3-2020"
BD-00408,,,,Display,"CRT Monitor",Disposed,WE000501012799,Philips,105S1,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00409,,n/a,,UPS,UPS,Assigned,B03K160024236A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,"Mazharul Islam",Sample,LWR,SIL,SDL,mazislam,,,,,,,,,,,,,,,,
BD-00410,,,,CCTV,"CCTV DVR",Disposed,STE4A0006B2383HK,Diss,KE-400,"15,000",2007-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00411,,,,Display,"CRT Monitor",Disposed,WE000504014062,Philips,105S1,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00412,,,DEWBDSDLS30,Network,Switch,Assigned,FOC1544X1GU,Cisco,"Catalyst 2960 series","90,000",2010-01-01,,,"SWL RACK",MIS,LWR,,SDL,MIS,,,,,,,,,,,,,,,,10.140.2.30
BD-00413,,,,Network,Switch,Disposed,01017LV5G230055341,3Com,"Baseline 2824","11,000",2014-05-20,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,DEWBDSDLS31
BD-00414,,,,UPS,UPS,Disposed,27598/12,Micro,UVS-1000VA,"4,800",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00415,,1,,Printer,Printer,Assigned,LMCA100844,Canon,"Laser LBP-3000","8,500",2010-09-12,,,Rasanga,Operation,LWR,SIL,SDL,rranasinghe,,,,,,,,,,,,,,,,
BD-00416,,,DEWBDSDLA05,Network,"Access Point",Stock,FGL1552VORN,Cisco,AIR-AP1131G,"35,000",2010-01-01,,,,MIS,LWR,SDL,SDL,,,,,,,,,,10.140.25.5,,,,,,,
BD-00417,,,,Computer,Desktop,Disposed,"BTPR82300195 AA D97573-300",Intel,845,"14,000",2002-01-01,,,,MIS,LWR,,SDL,,,Intel,,,,,,,,,,,,,,
BD-00418,,,,Display,"CRT Monitor",Disposed,BN15HHATB0049R,Samsung,SynceMaster551S,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00419,,n/a,SDLD241C,Computer,Desktop,Assigned,245MC040001357,Clone,P8H61-MLX3,"14,500",2013-09-09,,,"Jakir Hossain",Cutting,LWR,SDL,SDL,jhossain,,Asus,"Intel Pentium R (2 cores)-630",2.7,,500,8192,,,,"WIN10 Pro",,,None,,
BD-00420,,,,Display,"CRT Monitor",Disposed,WE000504014003,Philips,105S1,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00421,,,,UPS,UPS,Disposed,B03K160024237A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00422,,,SDLD111A,Computer,Desktop,Disposed,"USNB3800E1K AA E34877-402",Clone,845,"14,000",2003-01-01,,,,MIS,LWR,,SDL,,,Intel,"Intel Core 2Duo",2.66,,80,1024,,,,"WIN7 Pro",,,None,,
BD-00423,,,,Display,"CRT Monitor",Disposed,WE019925032281,Philips,104E,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00424,,,,Network,Switch,Stock,,NETGEAR,FS608,"1,500",2005-02-02,,,"SIL Server room",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
